bloq/cpptrade	DIVERGE	1322	682	ch=1662
cgwalters/git-evtag	DIVERGE	2088	819	ch=2475
freebsd/atf	DIVERGE	4053	1377	ch=4716
HeapStats/heapstats	DIVERGE	824	558	ch=990
gpudirect/libgdsync	DIVERGE	1268	608	ch=1510
ajhc/ajhc	DIVERGE	848	593	ch=881
gpg/gpgme	DIVERGE	1040	561	ch=1209
cederom/LibSWD	DIVERGE	1002	531	ch=1183
grrrr/flext	DIVERGE	903	506	ch=1067
afedchin/xbmc-addon-iptvsimple	DIVERGE	867	575	ch=994
fredrikwidlund/libreactorng	DIVERGE	2657	926	ch=3111
gentoo/cpuid2cpuflags	DIVERGE	1730	714	ch=2096
CRG-Barcelona/bwtool	DIVERGE	930	565	ch=1131
ConsoleKit2/ConsoleKit2	DIVERGE	997	543	ch=1170
aconchillo/guile-json	DIVERGE	899	529	ch=1082
andre-martins/TurboParser	DIVERGE	849	523	ch=1066
evergreen-library-system/Evergreen	DIVERGE	886	518	ch=1056
BroadbandForum/obuspa	DIVERGE	3123	850	ch=3623
cmu-sei/BigGrep	DIVERGE	949	528	ch=1109
dreamcat4/php-fpm	DIVERGE	789	604	ch=1075
bonzini/smalltalk	DIVERGE	1627	716	ch=1861
fontforge/libspiro	DIVERGE	1152	614	ch=1390
dun/conman	DIVERGE	2704	960	ch=3134
ClusterLabs/fence-agents	DIVERGE	1135	630	ch=1223
dyninc/OpenBFDD	DIVERGE	1027	531	ch=1230
DreamSourceLab/DSLogic-fw	DIVERGE	834	547	ch=1007
claesenm/EnsembleSVM	DIVERGE	1648	1078	ch=2264
DE-IBH/apt-dater	DIVERGE	902	554	ch=1058
apertium/apertium	DIVERGE	938	523	ch=1111
bjango/istatserverlinux	DIVERGE	812	519	ch=997
ferrandi/PandA-bambu	DIVERGE	1231	495	ch=1326
cminyard/gensio	DIVERGE	1007	527	ch=1184
armenb/sharktools	DIVERGE	590	520	ch=906
benmwebb/dopewars	DIVERGE	933	538	ch=1107
fredrikwidlund/libdynamic	DIVERGE	1080	658	ch=1340
gssapi/mod_auth_gssapi	DIVERGE	862	528	ch=1032
egallesio/STklos	DIVERGE	930	569	ch=1079
alexanderchuranov/Metaresc	NO_REFERENCE
giannitedesco/ccid-utils	DIVERGE	877	535	ch=1050
hpc/xpmem	DIVERGE	948	525	ch=1121
CumulusNetworks/ptm	DIVERGE	838	519	ch=1015
bmanojlovic/log4c	DIVERGE	964	534	ch=1144
cmbi/hssp	DIVERGE	1108	582	ch=1338
djn3m0/debit	DIVERGE	2553	702	ch=2793
cforall/cforall	DIVERGE	1001	561	ch=1164
dajobe/librdf	DIVERGE	1193	557	ch=1378
fordmason/cronolog	DIVERGE	552	520	ch=854
benlemasurier/stormfs	DIVERGE	864	513	ch=1033
agronick/Relay	DIVERGE	907	528	ch=1091
GArik/bash-completion	DIVERGE	955	549	ch=1130
Cacti/spine	DIVERGE	946	539	ch=1171
cowsql/raft	DIVERGE	4345	921	ch=4878
ForgotFun/wifidog	DIVERGE	453	563	ch=828
gpudirect/libibverbs	DIVERGE	1721	1325	ch=2526
hholzgra/connector-c-examples	DIVERGE	1457	1233	ch=2108
adobe-research/libkafka	DIVERGE	2735	879	ch=3212
drmingdrmer/lrc-erasure-code	DIVERGE	849	505	ch=1016
evilpan/TurnServer	DIVERGE	861	539	ch=1126
blueness/sthttpd	DIVERGE	810	517	ch=993
HSU-ANT/gstpeaq	DIVERGE	858	521	ch=1037
barak/djvulibre	DIVERGE	838	525	ch=1025
farsightsec/mtbl	DIVERGE	2186	1017	ch=2743
GNOME/easytag	DIVERGE	4369	1126	ch=4939
aurelihein/exosip	DIVERGE	839	536	ch=1011
GNOME/gnumeric	DIVERGE	1109	552	ch=1275
BirolLab/ntCard	DIVERGE	1256	658	ch=1412
